source_row_key,population_group,geography_level,region_name,province_huc_code,province_huc_name,place_type,food_group_code,source_variable,food_name,rank,percent_consuming,mean_intake_g,sample_size,weighted_population,relative_to_national,survey_years
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:POULTRY,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,POULTRY,epwt_fg17,Poultry,15,5.777748,5.097764,2817,284817.348,0.252819,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:MEAT_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,MEAT_PRODUCTS,epwt_fg16,Meat and Meat Products,16,4.626709,4.64269,2817,284817.348,0.115893,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:CORN_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,CORN_PRODUCTS,epwt_fg3,Corn and Products,17,2.559483,1.338738,2817,284817.348,0.170679,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:VITAMIN_C_RICH_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,VITAMIN_C_RICH_FRUITS,epwt_fg12,Vitamin C-Rich Fruits,18,0.780237,0.698631,2817,284817.348,0.273367,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:OTHER_MISCELLANEOUS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,OTHER_MISCELLANEOUS,epwt_fg27,Other Miscellaneous,19,1.680514,0.170562,2817,284817.348,0.083578,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:MILK_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,MILK_PRODUCTS,epwt_fg21,Milk Products,20,0.250218,0.174818,2817,284817.348,0.074089,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:RICE_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,RICE_PRODUCTS,epwt_fg2,Rice and Products,1,98.886488,242.350067,3577,844542.005,1.104702,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:SUGAR_SYRUPS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,SUGAR_SYRUPS,epwt_fg6,Sugar and Syrups,2,59.379235,31.189533,3577,844542.005,0.88251,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:FISH_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,FISH_PRODUCTS,epwt_fg15,Fish and Fish Products,3,58.093846,33.362086,3577,844542.005,0.766263,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:OTHER_CEREAL_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,OTHER_CEREAL_PRODUCTS,epwt_fg4,Other Cereal Products,4,55.083641,38.302108,3577,844542.005,0.862147,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:FATS_OILS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,FATS_OILS,epwt_fg23,Fats and Oils,5,76.388321,10.633092,3577,844542.005,1.974717,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:BEVERAGES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,BEVERAGES,epwt_fg25,Beverages,6,58.042938,18.156014,3577,844542.005,0.704715,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:OTHER_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,OTHER_VEGETABLES,epwt_fg10,Other Vegetables,7,33.068876,28.295824,3577,844542.005,0.999624,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:GREEN_LEAFY_YELLOW_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,GREEN_LEAFY_YELLOW_VEGETABLES,epwt_fg9,Green Leafy and Yellow Vegetables,8,33.176981,15.230437,3577,844542.005,1.048841,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:EGGS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,EGGS,epwt_fg18,Eggs,9,26.013362,13.03157,3577,844542.005,0.962764,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:WHOLE_MILK,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,WHOLE_MILK,epwt_fg20,Whole Milk,10,11.764486,6.669306,3577,844542.005,0.694617,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:OTHER_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,OTHER_FRUITS,epwt_fg13,Other Fruits,11,9.603989,10.327049,3577,844542.005,0.717252,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Lanao del Sur:POULTRY,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,108,Lanao del Sur,PROVINCE_OR_HUC,POULTRY,epwt_fg17,Poultry,12,9.600625,7.251881,3577,844542.005,0.35965,2019
